,Game,winner,winner.pred,winner.conf,WResult,Date
300,nebraska-northwestern,northwestern,northwestern,0.680353,1,1/11/2020
301,louisville-notredame,louisville,notredame,0.682706,0,1/11/2020
302,bowlinggreen-ohio,bowlinggreen,ohio,0.687351,0,1/11/2020
303,northdakota-oralroberts,oralroberts,oralroberts,0.925048,1,1/11/2020
304,arizonast-oregon,oregon,oregon,0.961868,1,1/11/2020
305,sanfrancisco-pacific,sanfrancisco,pacific,0.622908,0,1/11/2020
306,wisconsin-pennst,wisconsin,pennst,0.76194,0,1/11/2020
307,floridainternational-rice,rice,rice,0.628427,1,1/11/2020
308,stlouis-richmond,stlouis,richmond,0.892773,0,1/11/2020
309,weberst-sacramentost,sacramentost,sacramentost,0.722473,1,1/11/2020
310,santaclara-stmarys,santaclara,stmarys,0.751409,0,1/11/2020
311,pepperdine-sandiego,pepperdine,pepperdine,0.712074,1,1/11/2020
312,coloradost-sanjosest,coloradost,coloradost,0.551045,1,1/11/2020
313,utahvalleyst-seattle,seattle,seattle,0.623732,1,1/11/2020
314,marquette-setonhall,setonhall,setonhall,0.635421,1,1/11/2020
315,nebraskaomaha-southdakota,southdakota,southdakota,0.761702,1,1/11/2020
316,tennesseest-sems,tennesseest,tennesseest,0.618389,1,1/11/2020
317,fordham-stbonaventure,stbonaventure,stbonaventure,0.968089,1,1/11/2020
318,depaul-stjohns,stjohns,stjohns,0.682717,1,1/11/2020
319,washingtonst-stanford,stanford,stanford,0.689955,1,1/11/2020
320,oklahomast-tcu,tcu,tcu,0.913396,1,1/11/2020
321,tulane-temple,tulane,tulane,0.625726,1,1/11/2020
322,southcarolina-tennessee,tennessee,tennessee,0.783252,1,1/11/2020
323,belmont-tennesseemartin,belmont,tennesseemartin,0.668182,0,1/11/2020
324,murrayst-tennesseetech,murrayst,murrayst,0.915403,1,1/11/2020
325,kansasst-texas,texas,texas,0.696863,1,1/11/2020
326,coastalcarolina-texasarlington,coastalcarolina,texasarlington,0.70436,0,1/11/2020
327,appalachianst-texasst,texasst,texasst,0.89419,1,1/11/2020
328,westernmichigan-toledo,toledo,toledo,0.710677,1,1/11/2020
329,delaware-towson,towson,delaware,0.525688,0,1/11/2020
330,houston-tulsa,tulsa,houston,0.681005,0,1/11/2020
331,lbsu-ucsb,lbsu,ucsb,0.761518,0,1/11/2020
332,hawaii-ucirvine,ucirvine,ucirvine,0.667952,1,1/11/2020
333,calstfullerton-ucriverside,ucriverside,ucriverside,0.750768,1,1/11/2020
334,usc-ucla,usc,usc,0.662788,1,1/11/2020
335,nevada-utahst,utahst,utahst,0.623878,1,1/11/2020
336,louisianatech-utep,louisianatech,louisianatech,0.83694,1,1/11/2020
337,somiss-utsa,utsa,utsa,0.930917,1,1/11/2020
338,drake-valparaiso,valparaiso,valparaiso,0.513931,1,1/11/2020
339,texasam-vanderbilt,texasam,vanderbilt,0.834919,0,1/11/2020
340,rhodeisland-vcu,rhodeisland,vcu,0.922231,0,1/11/2020
341,georgetown-villanova,villanova,villanova,0.814198,1,1/11/2020
342,syracuse-virginia,syracuse,syracuse,0.804221,1,1/11/2020
343,ncst-virginiatech,virginiatech,virginiatech,0.639686,1,1/11/2020
344,texastech-westvirginia,westvirginia,texastech,0.673107,0,1/11/2020
345,mercer-westerncarolina,westerncarolina,westerncarolina,0.979717,1,1/11/2020
346,denver-westernillinois,westernillinois,westernillinois,0.948953,1,1/11/2020
347,citadel-wofford,wofford,wofford,0.737801,1,1/11/2020
348,unlv-wyoming,unlv,unlv,0.687074,1,1/11/2020
349,creighton-xavier,creighton,xavier,0.535652,0,1/11/2020
350,detroit-youngstownst,youngstownst,youngstownst,0.841768,1,1/11/2020
351,utah-colorado,colorado,colorado,0.515288,1,1/12/2020
352,wichitast-connecticut,wichitast,connecticut,0.506783,0,1/12/2020
353,niagara-iona,niagara,iona,0.739558,0,1/12/2020
354,northernkentucky-iupui,northernkentucky,iupui,0.528878,0,1/12/2020
355,siena-manhattan,manhattan,manhattan,0.529973,1,1/12/2020
356,rider-marist,rider,rider,0.769712,1,1/12/2020
357,pittsburgh-miamifl,miamifl,miamifl,0.63439,1,1/12/2020
358,michigan-minnesota,minnesota,michigan,0.544936,0,1/12/2020
359,arizona-oregonst,oregonst,oregonst,0.701508,1,1/12/2020
360,michiganst-purdue,purdue,michiganst,0.822327,0,1/12/2020
361,monmouth-quinnipiac,quinnipiac,quinnipiac,0.859446,1,1/12/2020
362,canisius-stpeters,canisius,stpeters,0.789338,0,1/12/2020
363,memphis-southflorida,memphis,memphis,0.516885,1,1/12/2020
364,wrightst-illinoischicago,illinoischicago,wrightst,0.829433,0,1/12/2020
365,boston-loyolamd,boston,loyolamd,0.756266,0,1/13/2020
366,morganst-bethunecookman,bethunecookman,bethunecookman,0.631217,1,1/13/2020
367,nccentral-umes,nccentral,nccentral,0.806416,1,1/13/2020
368,ncat-delawarest,ncat,delawarest,0.831019,0,1/13/2020
369,southcarolinast-howard,southcarolinast,southcarolinast,0.631144,1,1/13/2020
370,coppinst-floridaam,floridaam,floridaam,0.947172,1,1/13/2020
371,arkansaspinebluff-alabamast,arkansaspinebluff,alabamast,0.886502,0,1/13/2020
372,grambling-alcornst,alcornst,alcornst,0.614089,1,1/13/2020
373,mvsu-alabamaam,mvsu,alabamaam,0.990917,0,1/13/2020
374,portlandst-montana,montana,portlandst,0.684983,0,1/13/2020
